Отбор...;
1;60,1582087020922;
2;60,1518542830722;
3;60,1581905691487;
4;60,155662699094;
5;60,1587718102195;
6;60,1585691357096;
7;60,1580058367218;
8;60,1593551285454;
9;60,1579615967624;
10;60,1596836715323;
11;60,1589625335415;
12;60,14487446906;
13;60,1582945884146;
14;60,157547097868;
15;60,160004428948;
16;60,1576632325852;
17;60,158297191526;
18;60,157527279962;
19;60,1582570564347;
20;60,1566113168462;
21;60,1582105859547;
22;60,1567720518111;
23;60,1584395256132;
24;60,158079781944;
25;60,1577677818012;
26;60,1582324329748;
27;60,1581642685538;
28;60,1559557339567;
29;60,1585602754531;
30;60,1572182444329;
31;60,1584021888785;
32;60,146999464032;
33;60,1556454464438;
34;60,1586606640053;
35;60,1565625420254;
36;60,1577988747682;
37;60,1577324871344;
38;60,1576418991857;
39;60,1581372143454;
40;60,1587956084451;
41;60,1596023959672;
42;60,1588203117689;
43;60,1595045972505;
44;60,1571320253483;
45;60,1584652503116;
46;60,1525940779472;
47;60,1581853958595;
48;60,1590155164153;
49;60,158515579186;
50;60,1574048767056;
51;60,1583345440421;
52;60,1549128167981;
53;60,1596752815776;
54;60,1536495024173;
55;60,1481293856199;
56;60,1561559449198;
57;60,1582160378098;
58;60,1583774953896;
59;60,1547644119737;
60;60,158553119481;
61;60,156013613232;
62;60,1581602360113;
63;60,1548772551777;
64;60,1583461392474;
65;60,1587729892673;
66;60,1588582558652;
67;60,1570246113653;
68;60,15256618397;
69;60,1590438913915;
70;60,159305498472;
71;60,1545906446478;
72;60,1599476943985;
73;60,1577416973597;
74;60,16115067408;
75;60,15872999793;
76;60,1585673191953;
77;60,1573149897742;
78;60,1591801949617;
79;60,1573745455136;
80;60,1569657860144;
81;60,160405658829;
82;60,1586061403961;
83;60,1539091172653;
84;60,1586603004861;
85;60,157270532473;
86;60,1580409993837;
87;60,1604878795286;
88;60,1588374437889;
89;60,1590122312587;
90;60,1570692023774;
91;60,1586196628992;
92;60,1581126955393;
93;60,1577843901371;
94;60,1594135797539;
95;60,1578764726181;
96;60,145350520927;
97;60,1572711044025;
98;60,1566430334475;
99;60,1592354644481;
100;60,1587151441668;
== 100;
Скрещивание...;
101;60,1582417182537;
102;60,1593192975688;
103;60,1586469396609;
104;60,1587709091294;
105;60,1578863404601;
106;60,1585817333093;
107;60,1586441400471;
108;60,1575178471738;
109;60,1584362949225;
110;60,1588900607588;
111;60,1587678223669;
112;60,1585616714125;
113;60,1587280372656;
114;60,1585072789506;
115;60,1593976927928;
116;60,1590466824826;
117;60,1547672983241;
118;60,158537663236;
119;60,1584738607152;
120;60,1581022820089;
121;60,1575685503884;
122;60,1584078030785;
123;60,1587929527406;
124;60,15877842015;
125;60,1510851694225;
126;60,1585073660528;
127;60,1595838798447;
128;60,1585330907625;
129;60,1540232151757;
130;60,158782043499;
131;60,1585920644512;
132;60,1583170059649;
133;60,1584887470662;
134;60,1566429073048;
135;60,1584927682383;
136;60,1585918664868;
137;60,1589950719216;
138;60,1585356068264;
139;60,1584466856989;
140;60,1583781275339;
141;60,1588061189148;
142;60,15872941688;
143;60,1575001401931;
144;60,158075718329;
145;60,1586902550891;
146;60,1597262824044;
147;60,1587600294173;
148;60,1569752094021;
149;60,1605244949378;
150;60,1588294204508;
Population 1;
Отбор лучших...;
Скрещивание...;
101;60,1588084524833;
102;60,1587511248442;
103;60,1586438568095;
104;60,1588689050833;
105;60,1583543102046;
106;60,1572481994273;
107;60,1585388344392;
108;60,1585366250711;
109;60,1591385778062;
110;60,1537108353795;
