Отбор...;
192;50,9737743
193;50,39332577
194;52,40772127
195;51,94324056
196;50,76392115
197;51,39214653
198;51,36043039
199;52,63640728
200;51,14452023
Population 3;
Отбор лучших...;
Скрещивание...;
101;50,41663901
102;52,34405329
103;49,20084491
104;50,96394902
105;50,04136289
106;52,05720095
107;50,6480242
108;49,92112984
109;51,87770936
110;50,98880676
111;50,66774979
112;51,14788329
113;52,86805036
114;52,5597264
115;49,66882656
116;50,88986747
117;49,91321465
118;51,26903537
119;52,37063533
120;51,13679032
121;51,68216614
122;51,82254745
123;48,58985762
124;51,21345774
125;49,23879199
126;49,19807029
127;51,4480899
128;50,91655683
129;51,310183
130;52,13901358
131;49,11119856
132;52,49472996
133;49,77002193
134;50,98559565
135;52,55654701
136;49,31910741
137;51,72121972
138;50,79039725
139;49,91551926
140;50,84600473
141;50,5864415
142;52,22382924
143;51,40562042
144;50,30668357
145;50,50889681
146;52,12775301
147;52,27974722
148;48,83468515
149;51,74529362
150;50,23542493
151;52,79831408
152;51,96885101
153;51,69743955
154;52,26854196
155;52,63992
156;50,9732624
157;51,87405062
158;51,26316786
159;50,43635807
160;52,02941134
161;51,61059886
162;48,31048763
163;51,084859
164;51,56436327
165;51,10240015
166;50,09913697
167;51,42342282
168;52,13523797
169;51,81303503
170;52,19690775
171;51,72659532
172;51,20037671
173;50,61827313
174;50,81301792
175;49,21781509
176;50,64352473
177;51,48749422
178;50,98064489
179;50,82046215
180;49,74879731
181;49,03378994
182;50,63413267
183;51,34775208
184;52,34319859
185;50,46188528
186;50,35488885
187;54,10963925
188;52,12055314
189;53,07281184
190;50,06582917
191;51,25877699
192;50,52906106
193;50,51799545
194;51,28145153
195;52,27287422
196;52,67971843
197;52,03919435
198;48,95931065
199;49,88608373
200;50,9658927
Population 4;
Отбор лучших...;
Скрещивание...;
101;50,92427421
102;52,19623963
103;51,56087453
104;53,29621349
105;52,21746695
106;52,09914142
107;51,12838548
108;53,18192769
109;52,28430213
110;50,61568977
111;50,77557368
112;51,39746651
113;51,79041535
114;51,1817995
115;49,20938886
116;51,24759925
117;50,58574832
118;50,74718065
119;52,18006973
120;50,53826345
121;51,52922534
122;51,12465348
123;49,86790906
124;51,65720772
125;49,68605464
126;51,15085667
127;50,3510963
128;50,15432338
129;51,66406078
130;50,22121588
131;48,12670761
132;49,77116223
133;48,83303907
134;50,59650179
135;51,29459848
136;49,35676777
137;52,78451479
138;48,75223329
139;51,37090295
140;52,39248227
141;52,66660752
142;52,282467
143;52,51218858
144;51,66642965
145;53,54657604
146;51,06149016
147;52,2621279
148;50,53342789
149;49,28739394
150;52,11898809
151;51,04523124
152;50,43227515
153;51,41041153
154;51,96147131
155;52,50394023
156;52,32813825
157;51,54995976
158;50,37154815
159;49,14272702
160;52,58372831
161;50,04529335
162;50,19457227
163;51,90006906
164;52,55401263
165;50,66032035
166;49,37962019
167;51,743932
168;53,09298043
169;52,19559696
170;50,16923876
171;51,23755028
172;51,34541473
173;51,18115674
174;50,35765546
175;50,53686566
176;53,8287773
177;51,02399584
178;50,24394281
179;51,34332336
180;51,04865189
181;54,17925939
182;52,97530993
183;50,65579578
184;51,21013422
185;50,74138241
186;51,04051779
187;49,39251677
188;49,99145364
189;50,23952574
190;50,41375514
191;49,88063331
192;53,05097248
193;53,29706893
194;50,98724389
195;51,5552048
196;51,02336229
197;50,88853104
198;52,48034919
199;51,07326393
200;52,72680968
Population 5;
Отбор лучших...;
Скрещивание...;
101;52,39105521
102;53,24864671
103;51,60764704
104;53,85249478
105;51,51919956
106;52,56675688
107;53,26069832
108;50,92190828
109;51,54688496
110;51,75046311
111;50,74499391
112;50,78586044
113;50,79362355
114;50,40280426
115;53,7491778
116;49,76426942
117;50,40548045
118;51,10375603
119;49,5880378
120;53,41803732
121;49,34066515
122;53,53570129
123;50,50438814
124;50,29719864
125;51,64674157
126;51,26103415
127;51,12260128
128;53,08297947
129;53,03716501
130;51,73658193
131;52,61725076
132;51,82213368
133;52,19599236
134;53,30476878
135;50,93146642
136;51,53151593
137;51,48717753
138;51,66509404
139;51,68183748
140;52,49098777
141;52,87423755
142;49,31549103
143;50,85799845
144;49,17786912
145;50,34769778
146;49,98461857
147;49,90879204
148;51,28343852
149;51,68248113
150;51,06838816
151;51,45558516
152;50,73598218
153;51,09907959
154;51,47895933
155;51,86729842
156;50,7069485
157;52,97045735
158;53,11203639
159;51,60483907
160;52,88872915
161;51,86320738
162;51,25047647
163;51,33076589
164;53,31071704
165;50,41625027
166;52,40827468
167;52,14866391
168;50,14636835
169;52,29084161
170;52,39408254
171;52,66764478
172;49,05293446
173;50,95307632
174;49,03916611
175;52,47735562
176;52,70266158
177;49,98692377
178;53,09421128
179;53,36570609
180;52,75864481
181;52,7775346
182;53,04885688
183;50,91129856
184;52,05432422
185;50,33721233
