Отбор...;
1;55,5814676948003;
2;49,9403692849372;
3;53,365916279589;
4;52,1910710757277;
5;57,5920411532572;
6;55,2578867149248;
7;54,4105791505109;
8;50,337456300676;
9;36,7532055353421;
10;59,8205737853929;
11;50,0019094831461;
12;59,6589081047475;
13;51,4555417796025;
14;60,233680604881;
15;49,2016473091856;
16;50,0000525113123;
17;46,6477227574018;
18;60,1935948042466;
19;55,2716975400203;
20;50,5608995197892;
21;50,0000000021933;
22;59,4999611160085;
23;59,6893567777703;
24;49,9945543378599;
25;51,2795383445338;
26;21,724075465755;
27;55,1929155474882;
28;53,3292078235448;
29;56,7056173985848;
30;36,0228335609638;
31;60,3894532213845;
32;50,0000000001908;
33;37,0119760761184;
34;11,0428341588367;
35;52,8336990709366;
36;55,7546197022042;
37;51,7198111771455;
38;59,7722493929133;
39;53,0231854000241;
40;17,7571930817046;
41;52,7823088854604;
42;50,0000000011248;
43;39,2655979482402;
44;50,0000000168531;
45;12,9211184583455;
46;52,9287590242938;
47;50,0203847221333;
48;50,000000050443;
49;14,8044446286544;
50;50,0000000000916;
51;40,8489352464485;
52;56,7117772838423;
53;15,4399101419384;
54;47,0383739909809;
55;60,3359255746684;
56;50,0000000006173;
57;54,0895174536604;
58;50,075302160849;
59;50,0000000516841;
60;50,0000000044146;
61;50,6374958056146;
62;54,9317934603597;
63;50,0000000089563;
64;60,3783739559806;
65;26,032926496477;
66;50,0000000000849;
67;54,7025808036577;
68;54,5329110638912;
69;54,7623995286943;
70;52,8618404753457;
71;51,1354230191935;
72;52,896316585867;
73;55,11144420919;
74;50,0000000336973;
75;54,2868742845845;
76;60,2519376270789;
77;60,3479395042878;
78;59,20152507235;
79;51,1675648215789;
80;60,4030621018939;
81;15,6581981074332;
82;60,2277692012838;
83;50,0000000001099;
84;59,713335848485;
85;55,0047563570614;
86;50,0000000637816;
87;54,6555110662598;
88;58,3199898957583;
89;50,000000000414;
90;53,498152063014;
91;54,3073838940261;
92;57,163523232809;
93;58,7448559421403;
94;50,0000015198796;
95;57,811290384159;
96;50,0000000000827;
97;50,0000000017128;
98;58,0438786744328;
99;46,4925572458015;
100;46,8280694180622;
== 100;
Скрещивание...;
101;56,4477844180454;
102;53,1974446226026;
103;50,0002810854741;
104;59,7402377408099;
105;38,9582055478787;
106;55,7595316976927;
107;51,4737352918265;
108;28,4892589964954;
109;52,6948880910313;
110;50,3208851359829;
111;60,4247172126344;
112;59,7351749652095;
113;56,1479439887602;
114;60,3752754691482;
115;59,9812269004003;
116;58,9068000243662;
117;49,5652549660928;
118;54,6301593856968;
119;54,292855961025;
120;50,000000000059;
121;53,2695510062835;
122;58,7590099801413;
123;50,0000019129137;
124;46,4803615311113;
125;56,0882959804044;
126;50,6140731513658;
127;51,0151610566968;
128;54,8115657528671;
129;51,7907753400943;
130;47,5963135720301;
131;32,8555457322352;
132;55,4645383568889;
133;56,6982366250516;
134;59,9406741084684;
135;50,4252309947085;
136;53,4023048490306;
137;54,1608080162154;
138;50,0000000030492;
139;53,8257197379034;
140;59,7213116016154;
141;29,1243186103221;
142;50,0000000009639;
143;50,0000000002245;
144;54,7377522191347;
145;51,4741027841431;
146;50,000217117971;
147;58,9756348741268;
148;50,0000000016048;
149;56,9600169767059;
150;59,9192841053093;
151;59,0596364614829;
152;50,0290193574541;
153;59,797095290786;
154;50,0034527676317;
155;50,0000000001403;
156;50,7669455491137;
157;57,7995198042115;
158;54,3499560920336;
159;57,5251687098937;
160;56,6358242113009;
161;50,0000000471971;
162;54,3396478448111;
163;59,8241770024306;
164;50,000000000302;
165;53,1539588667766;
166;59,8244352790506;
167;51,9840068194905;
168;53,9479340279296;
169;59,9860879479733;
170;50,2514617533756;
171;58,8173254228658;
172;55,263006186105;
173;29,6623429137076;
174;27,2243822961687;
175;58,6353788444698;
176;53,6342961059059;
177;59,9057733654816;
178;59,4210424428664;
179;60,4217810166346;
180;57,562244449079;
181;55,8090992626121;
182;31,7916749598744;
183;51,9584799932726;
184;54,7483182679131;
185;50,0022846072504;
186;57,026758160311;
187;50,0000000010387;
188;53,7545245421284;
189;57,4054237119607;
190;55,7934269009613;
191;59,2674705637757;
192;14,8401472588634;
193;57,0461045746749;
194;59,9502569866961;
195;56,0001766750732;
196;50,0000000000632;
197;55,7674200861302;
198;55,0006399188695;
199;50,1667790082344;
200;55,3822167738691;
Population 1;
Отбор лучших...;
Скрещивание...;
101;56,8293251518638;
102;57,1057952389321;
103;56,8085327039205;
104;59,4076440828939;
105;51,7295836678269;
106;50,0000012078876;
107;50,0016196455169;
108;52,1675525556272;
109;59,5828154303876;
110;54,8220308607328;
111;50,0040912729847;
112;56,1808222694427;
113;51,9614608339021;
114;53,3653469375316;
115;58,7964055243321;
116;60,3768117785637;
117;58,5069462084213;
118;56,2767149849171;
119;50,1718864418687;
120;60,3266758506711;
121;58,6195896273766;
122;59,5398009105456;
123;57,7653928501557;
124;56,2687996669765;
125;52,7788461528685;
126;57,1548060865364;
127;54,52909221194;
128;39,3735185236652;
129;50,0000000447805;
130;53,1598520865832;
131;55,5789328863697;
132;54,6269255275082;
133;50,630374326057;
134;50,0515340700266;
135;60,1907393308847;
136;51,5912503927057;
137;53,182889343196;
138;57,9983501461002;
139;56,3703831852688;
140;57,9808881479184;
141;54,5536117099724;
142;56,5342922853138;
143;57,0341249719844;
144;54,5919946127535;
145;52,2005335144853;
146;54,8462524706396;
147;60,1114330048449;
148;50,0210622179411;
149;50,0020833937981;
150;55,0657626084275;
151;51,0235522281176;
152;56,5624029544905;
153;56,3159063599653;
154;55,5256510621909;
155;50,0014338609282;
156;56,0886062475538;
157;59,9556862771811;
158;50,0000164045153;
159;55,9434810926329;
160;50,0408872920691;
161;57,7274086466013;
162;50,3790201399393;
163;58,0625653283255;
164;52,9492869039465;
165;53,9493671772147;
166;54,6299429294419;
167;52,2300303894161;
168;51,3141913026054;
169;56,1436443737161;
170;56,3165183755286;
171;50,2358424659777;
172;50,0041478516134;
173;58,0410603133374;
174;52,6266651392209;
175;55,9275760299778;
176;56,1560650880348;
177;41,6246905468794;
178;54,4196060191924;
179;58,7560367020358;
180;54,4902271487759;
181;60,0192555084581;
182;50,0000000037545;
183;49,9793257488736;
184;50,6484115239378;
185;50,4780640365249;
186;60,1393606869583;
187;57,0496533856768;
188;57,7931999990589;
189;59,9562292764602;
190;60,437926844688;
191;58,233329032936;
192;52,3505594406145;
193;58,1676787711858;
194;51,3593399415374;
195;59,1367821546758;
196;53,6970119467113;
197;56,717900610921;
198;51,0155585371143;
199;52,6549437872495;
200;50,0154987065962;
Population 2;
Отбор лучших...;
Скрещивание...;
101;52,4666720987338;
102;56,3048745845266;
103;52,540229161059;
104;59,4531179874282;
105;50,0000000001234;
106;57,8324010818856;
107;54,925109978893;
108;52,4762419624565;
109;50,000000017279;
110;54,8735377491183;
111;53,7696904886277;
112;60,0924418261912;
113;55,5598992965946;
114;56,6036540091981;
115;58,9880911960389;
116;53,1642561510956;
117;51,9602534166654;
118;54,42138552247;
119;59,0996655548185;
120;54,347012262276;
121;55,0069109566059;
122;53,6915250790157;
123;57,9112206718453;
124;54,1392436971673;
125;52,7944343744227;
126;57,3853484286091;
127;58,9306169113765;
128;54,639632441744;
129;51,4705388373576;
130;50,0000003418866;
131;52,4979673263416;
132;52,6957588991183;
133;52,4733486275107;
134;59,3988199979161;
135;56,7704878333063;
136;57,8655986954821;
137;55,3367426555169;
138;55,7643157154976;
139;57,5832018708429;
140;60,1042614149517;
141;58,310667324577;
142;60,3722961925301;
143;53,7231030910302;
144;53,0506790606793;
145;50,0168223033053;
146;52,1666074146854;
147;54,1148293342322;
148;54,0364777882746;
149;59,9856790078345;
150;33,1394657634983;
151;59,664134437481;
152;59,3702138132612;
153;56,8733468740866;
